evt LepGood1_charge LepGood2_charge LepGood1_convVeto LepGood2_convVeto LepGood1_lostHits LepGood2_lostHits LepGood1_mvaTTH LepGood2_mvaTTH LepGood1_pdgId LepGood2_pdgId LepGood1_pt LepGood2_pt LepGood1_tightCharge LepGood2_tightCharge met_pt mhtJet25 minMllAFAS nBJetLoose25 nBJetMedium25 nJet25 nLepGood10
2270 1 1 1 1 0 0 0.977170586586 -0.862716674805 -13 -13 87.6411209106 6.37552261353 2 2 121.501358032 91.8655319214 59.2856903076 2 2 5 1
2295 -1 -1 1 1 0 0 0.968991219997 0.955015063286 13 13 154.955307007 96.4555358887 2 2 102.923316956 104.846244812 209.766983032 2 1 5 2
2597 -1 -1 1 1 0 0 0.522828221321 0.959254205227 13 13 57.5254821777 46.4981536865 2 2 42.4589157104 33.0788421631 82.0608520508 3 1 5 2
2600 1 1 1 1 0 0 0.072267703712 0.973443210125 -13 -13 49.6547813416 20.9451293945 2 2 128.925857544 72.2421722412 30.5104084015 1 1 6 2
11753 1 1 1 1 0 0 -0.136230543256 -0.436389267445 -13 -13 9.56281089783 5.91876173019 2 2 121.703224182 138.952865601 7.45494699478 3 1 5 0
11798 -1 -1 1 1 1 0 0.976342380047 0.928604364395 13 13 86.7814331055 42.6931037903 2 2 188.834609985 169.158096313 79.6081085205 2 1 8 2
19228 -1 -1 1 1 0 0 0.984036326408 -0.561485350132 13 13 143.092544556 5.32456922531 2 2 80.9716720581 106.332801819 46.7135848999 2 0 5 1
20174 1 1 1 1 0 0 0.981579065323 0.973657906055 -13 -13 81.6091842651 29.8828792572 2 2 141.422683716 77.7381515503 95.2758865356 2 0 5 2
199804 1 1 1 1 0 0 0.978864908218 0.0676011741161 -13 -13 19.5807628632 12.7090854645 2 2 71.9937973022 71.6482467651 28.3645553589 5 4 6 2
23327 -1 -1 1 1 0 0 0.826095700264 0.947455227375 13 13 60.0669136047 18.750459671 2 2 117.102455139 150.032104492 65.4051208496 1 1 2 2
23362 -1 -1 1 1 0 0 0.95878213644 0.962982535362 13 13 44.3094940186 29.5592079163 2 2 24.0598621368 56.1149559021 71.442527771 3 3 3 2
42582 -1 -1 1 1 0 0 -0.157778307796 -0.511740624905 13 13 40.3900756836 25.3121128082 2 2 64.5959320068 47.0023269653 1.68105530739 2 2 3 2
58314 -1 -1 1 1 0 0 0.985770881176 0.912298798561 13 13 120.136863708 17.6406764984 2 2 299.73324585 168.670776367 21.7266960144 2 1 4 2
58391 -1 -1 1 1 0 0 0.974608242512 0.97883272171 13 13 104.670631409 24.8823242188 2 2 87.1734695435 85.4668579102 133.02204895 2 1 5 2
70902 -1 -1 1 1 0 0 0.952018558979 0.870063960552 13 13 57.122379303 27.4727077484 2 2 79.2681045532 55.9063224792 80.6303405762 0 0 5 2
70931 -1 -1 1 1 0 0 0.914428770542 0.970860362053 13 13 88.2545471191 72.9055328369 2 2 130.408721924 80.2931594849 161.46534729 2 2 5 2
130745 -1 -1 1 1 0 0 0.0298997275531 0.44182023406 13 13 47.6672821045 6.94701814651 2 2 29.1317424774 21.9030990601 54.6758232117 4 2 6 1
130516 -1 -1 1 1 0 0 0.970852315426 0.979006230831 13 13 158.039855957 92.1181488037 2 2 281.810028076 218.18762207 93.357635498 2 1 3 3
196940 -1 -1 1 1 0 0 0.980741024017 0.821246623993 13 13 31.5504608154 25.7160663605 2 2 111.339118958 76.8775177002 56.6988258362 2 1 6 2
196978 1 1 1 1 0 0 0.867589235306 -0.713610053062 -13 -13 23.6844120026 7.59920310974 2 2 113.471694946 40.9901733398 52.4715461731 3 1 4 1
196991 1 1 1 1 0 0 0.9512809515 0.284374386072 -13 -13 17.7854423523 10.4929447174 2 2 166.70010376 151.803405762 42.2262382507 3 1 8 2
178894 1 1 1 1 0 0 0.616621613503 0.920958995819 -13 -13 91.1850814819 72.8065719604 2 2 65.6452102661 108.18712616 11.6438398361 0 0 9 4
182063 1 1 1 1 0 0 0.972297728062 0.455776959658 -13 -13 23.0408859253 13.8015422821 2 2 105.797569275 116.968955994 8.98386001587 0 0 5 2
186749 -1 -1 1 1 0 0 0.978851854801 0.802732825279 13 13 122.428573608 22.7971801758 2 2 10.1597261429 49.8985900879 114.072349548 2 2 5 2
4776 1 1 1 1 0 0 0.927155852318 0.948757171631 -13 -13 37.7813987732 28.0715370178 2 2 53.6388435364 12.2703237534 105.919898987 2 0 4 2
4781 1 1 1 1 0 0 0.734383583069 0.935115039349 -13 -13 86.9038391113 77.6397171021 2 2 149.988983154 129.441085815 43.1916770935 2 1 4 3
8574 -1 -1 1 1 0 0 0.954334974289 0.986885607243 13 13 174.908172607 60.5001373291 2 2 32.7370796204 95.3871688843 25.0981082916 1 1 3 4
8594 1 1 1 1 0 0 0.980090856552 0.511699318886 -13 -13 79.022605896 63.454875946 2 2 81.9452667236 80.213973999 13.5635824203 1 1 1 3
35181 -1 -1 1 1 0 0 0.981308221817 -0.930192649364 13 13 125.584793091 11.8017425537 2 2 31.4409675598 12.2446813583 106.291313171 4 3 5 2
37752 -1 -1 1 1 0 0 -0.0711442232132 -0.587983131409 13 13 19.2734565735 10.2455759048 2 2 42.7512779236 38.8290328979 37.3335952759 1 1 3 2
49526 -1 -1 1 1 0 0 0.980728685856 0.956451714039 13 13 535.574951172 424.500213623 2 2 209.803131104 202.128616333 32.5175704956 1 1 4 3
38398 -1 -1 1 1 0 0 0.985944092274 0.931885898113 13 13 50.7324333191 23.2279090881 2 2 259.129486084 257.950714111 39.0246162415 1 1 5 2
53396 -1 -1 1 1 0 0 0.965576767921 0.213331118226 13 13 34.9553565979 8.28935337067 2 2 50.2616958618 53.4457244873 43.6081008911 2 1 7 1
55735 1 1 1 1 0 0 0.987355709076 -0.76110625267 -13 -13 122.524299622 5.94180774689 2 2 299.679046631 242.312866211 49.496723175 3 2 5 1
55751 -1 -1 1 1 0 0 0.988571584225 -0.253628343344 13 13 52.6727981567 5.74917936325 2 2 210.77571106 147.780990601 29.328792572 1 0 6 1
66029 1 1 1 1 0 0 -0.976594269276 0.978514909744 -13 -13 88.5117645264 68.0887145996 2 2 77.5404281616 58.4278106689 92.1753845215 1 1 3 2
108269 -1 -1 1 1 0 0 0.932376086712 0.986716210842 13 13 46.2753791809 43.0004501343 2 2 85.5425262451 24.8569221497 79.3489074707 2 1 6 2
63875 1 1 1 1 0 0 0.933422446251 -0.854598879814 -13 -13 39.4001731873 6.89261960983 2 2 47.3044891357 71.6411743164 35.7730255127 4 3 5 1
64448 1 1 1 1 0 0 0.929562270641 -0.827699422836 -13 -13 30.0162181854 8.22751140594 2 2 113.263999939 82.1177062988 48.6147384644 1 1 5 1
66373 1 1 1 1 0 0 0.609039187431 0.978701651096 -13 -13 43.4850502014 41.8713989258 2 2 84.7731704712 133.169342041 71.4991455078 0 0 1 2
66398 -1 -1 1 1 0 0 0.944591581821 0.0373553559184 13 13 148.177215576 13.4106683731 2 2 31.1250801086 50.8728218079 73.6269683838 5 3 10 2
88561 -1 -1 1 1 0 0 0.658972740173 0.975910305977 13 13 77.4239578247 52.1097984314 2 2 28.8601112366 102.140190125 123.414375305 1 1 5 2
109339 1 1 1 1 0 0 0.92748683691 0.640933096409 -13 -13 52.6662025452 7.76840114594 2 2 68.8303756714 88.8719940186 36.1246681213 3 1 6 1
109365 -1 -1 1 1 0 0 0.88900411129 0.983163833618 13 13 97.4612884521 95.2836227417 2 2 68.8530883789 71.6170043945 107.020729065 4 1 7 2
82747 -1 -1 1 1 0 0 -0.558814466 0.0012034928659 13 13 119.654602051 57.4363098145 2 2 148.367401123 66.9233627319 4.89382219315 1 0 3 3
84628 1 1 1 1 0 0 0.966533005238 0.977639436722 -13 -13 29.8502254486 20.8101634979 2 2 106.552024841 121.522491455 10.2168445587 2 0 5 2
95228 1 1 1 1 0 0 0.925471186638 0.900253891945 -13 -13 105.812263489 73.665725708 2 2 49.8460922241 118.325538635 94.2424163818 2 0 6 3
116823 1 1 1 1 0 0 0.981691241264 0.944159209728 -13 -13 79.9171142578 33.446308136 2 2 99.7175750732 116.009658813 102.179603577 2 1 5 2
117407 -1 -1 1 1 0 0 0.982077658176 -0.902016460896 13 13 18.3578548431 5.16418170929 2 2 20.6315174103 74.333152771 30.6035442352 3 3 4 1
117450 1 1 1 1 0 0 0.969832420349 0.728236794472 -13 -13 72.7950820923 12.4829330444 2 2 73.1924743652 39.5850028992 20.5165882111 0 0 3 2
127554 -1 -1 1 1 0 0 0.985913336277 0.984914422035 13 13 77.2510528564 61.4177284241 2 2 108.101486206 22.2461090088 13.8288764954 1 0 3 3
127558 1 1 1 1 0 0 0.927739024162 -0.946288228035 -13 -13 134.839324951 21.0994377136 2 2 93.165222168 103.507331848 73.2808914185 1 0 6 2
142909 1 1 1 1 0 0 0.953534424305 0.955195605755 -13 -13 38.0241355896 36.7010803223 2 2 105.899055481 103.920692444 18.445192337 2 1 8 2
142936 1 1 1 1 0 0 0.934305131435 0.784776806831 -13 -13 31.571805954 11.4239358902 2 2 33.7389831543 63.4788627625 21.3850231171 2 1 4 2
142959 -1 -1 1 1 0 0 0.874835729599 0.962669312954 13 13 124.301879883 36.9398612976 2 2 18.7979221344 92.1808013916 168.65071106 2 2 6 2
142988 -1 -1 1 1 0 0 0.942919909954 0.963318943977 13 13 39.4076690674 39.1700286865 2 2 16.5595149994 22.4271526337 53.9790153503 2 2 4 2
142989 1 1 1 1 0 0 0.894394814968 0.773052215576 -13 -13 103.012565613 86.7926483154 2 2 255.470916748 332.374725342 83.6835632324 4 3 6 2
